,zip_code,Median_Income,rental price,city,persons counted 2018,persons counted 2019,persons in perma housing,latitude,longitude,Median Age,Population,Household,median lengh of residence,average house income,Unemployed %,crimes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue
76,91101,64223,2439,Pasadena,---(1),0,240,34.1468,-118.1391,38.4,21207,10947,5.0,98081,3.95,547,6,Coffee Shop,American Restaurant,Pizza Place
77,91103,69334,2774,Pasadena,---(1),0,240,34.1669,-118.1551,37.0,29087,9107,7.9,113404,4.94,547,6,Dance Studio,Brewery,Liquor Store
78,91104,72189,2529,Pasadena,---(1),0,240,34.1678,-118.1261,41.0,36386,12977,8.8,119494,5.32,547,6,Bakery,Women's Store,Donut Shop
79,91105,112765,3415,Pasadena,---(1),0,240,34.1355,-118.1636,50.0,13099,6231,8.2,172006,3.88,547,6,Trail,Intersection,Bridge
80,91106,77380,2594,Pasadena,---(1),0,240,34.1435,-118.1266,39.1,24437,10854,6.3,127331,4.19,547,6,Bookstore,Sushi Restaurant,Mexican Restaurant
81,91107,92266,2642,Pasadena,---(1),0,240,34.150999999999996,-118.0889,43.8,33737,13420,9.2,147435,4.0,547,6,Salon / Barbershop,Thrift / Vintage Store,Dive Bar
82,91201,56580,2671,Glendale,---(1),0,112,34.1716,-118.2899,43.5,23056,8333,7.6,102211,6.99,202,6,Fast Food Restaurant,Middle Eastern Restaurant,Coffee Shop
83,91202,66657,2804,Glendale,---(1),0,112,34.1652,-118.2656,44.1,23720,9111,7.9,115320,6.21,202,6,Pizza Place,Spa,Chinese Restaurant
84,91203,51360,2576,Glendale,---(1),0,112,34.1517,-118.2636,42.9,16604,6586,4.7,85183,7.62,202,6,Art Gallery,Moving Target,Yoga Studio
85,91206,57379,2750,Glendale,---(1),0,112,34.1556,-118.2322,45.0,32993,13165,7.8,106126,6.69,202,6,Pharmacy,Bookstore,Pet Service
86,91208,105000,2853,Glendale,---(1),0,112,34.1921,-118.235,46.2,16723,6270,11.3,160254,3.63,202,6,Golf Course,American Restaurant,Yoga Studio
87,91214,94322,2705,Glendale,---(1),0,112,34.2316,-118.2457,45.0,30697,10614,10.9,144739,3.22,202,1,Korean Restaurant,Asian Restaurant,Hot Dog Joint
88,91301,117615,3305,Agoura Hills,2,0,4,34.1227,-118.7573,44.5,26203,9534,11.6,186800,3.25,27,6,Trail,Scenic Lookout,Video Store
89,91302,122967,4273,Calabasas,4,5,0,34.1419,-118.6641,45.1,27789,9937,10.6,197423,4.22,26,6,Soccer Field,Tennis Court,Sculpture Garden
90,91340,54703,2469,San Fernando,---(5),0,0,34.2875,-118.4352,33.2,35861,8596,9.7,79385,6.3,102,1,Mexican Restaurant,Ice Cream Shop,BBQ Joint
91,91501,64006,2799,Burbank,200,282,46,34.1862,-118.3009,41.9,22049,8641,7.0,105379,6.69,229,6,Arts & Entertainment,Pet Store,Construction & Landscaping
92,91502,41784,2563,Burbank,200,282,46,34.1745,-118.3059,41.7,11899,5231,5.8,72062,7.83,229,6,Hotel,Music Venue,Brewery
93,91505,82630,2874,Burbank,200,282,46,34.169000000000004,-118.3442,42.5,31440,13327,8.0,114453,4.86,229,6,Coffee Shop,Gift Shop,Pizza Place
94,91506,72681,2817,Burbank,200,282,46,34.1717,-118.3231,44.3,4,2,8.5,116695,6.27,229,6,Park,Hobby Shop,Shoe Store
95,91706,57240,2233,Baldwin Park,289,273,33,34.0964,-117.9682,33.4,77043,17625,11.0,82030,5.52,287,6,Business Service,Construction & Landscaping,Supermarket
96,91711,97002,2401,Claremont,28,27,8,34.1092,-117.7183,42.7,33928,12134,9.8,145917,4.44,66,6,Theater,ATM,Grocery Store
97,91722,70632,2363,Covina,98,220,47,34.0972,-117.9065,36.5,35680,10431,10.0,93229,6.7,188,1,Mexican Restaurant,Fast Food Restaurant,Liquor Store
98,91723,63270,2282,Covina,98,220,47,34.086,-117.8843,36.9,17972,6240,7.3,89371,5.92,188,6,Salon / Barbershop,Home Service,Bank
99,91731,36344,2359,El Monte,517,428,231,34.0791,-118.0371,35.8,29992,8152,8.2,63430,6.2,362,6,Mexican Restaurant,Mobile Phone Shop,Vietnamese Restaurant
100,91732,48254,2356,El Monte,517,428,231,34.0705,-118.0149,34.3,62658,15140,9.1,72338,5.21,362,6,Paper / Office Supplies Store,Department Store,Fast Food Restaurant
101,91733,42758,2321,El Monte,517,428,231,34.0557,-118.0444,33.2,44325,10113,8.4,66639,4.89,362,6,Sporting Goods Shop,Construction & Landscaping,Food
102,91740,76825,2403,Glendora,60,64,7,34.1287,-117.8552,40.2,26226,8656,9.9,106078,7.32,122,6,Yoga Studio,Health & Beauty Service,Liquor Store
103,91741,99474,2522,Glendora,60,64,7,34.1537,-117.8437,41.8,27052,9490,11.0,138826,5.88,122,6,Business Service,Trail,Yoga Studio
104,91750,83743,2360,La Verne,7,21,13,34.1159,-117.7708,44.4,33378,12211,11.8,124887,5.52,87,6,Pizza Place,Pharmacy,Dessert Shop
